# Trace Alpha: Steady-state flow, moderate RTT (~50ms), 100 events
# Format: timestamp_ms|event_type|seq_num|bytes_acked|rtt_sample_ms|extra
100|ACK|1|1460|52.3|normal
150|ACK|2|1460|49.1|normal
200|ACK|3|1460|51.7|normal
250|ACK|4|1460|48.5|normal
300|ACK|5|1460|50.2|normal
350|ACK|6|1460|53.1|normal
400|ACK|7|1460|47.8|normal
450|ACK|8|1460|51.4|normal
500|ACK|9|1460|49.6|normal
550|ACK|10|1460|50.8|normal
600|ACK|11|1460|52.0|normal
650|ACK|12|1460|48.3|normal
700|ACK|13|1460|51.1|normal
750|ACK|14|1460|49.7|normal
800|ACK|15|1460|50.5|normal
850|ACK|16|1460|52.8|normal
900|ACK|17|1460|47.2|normal
950|ACK|18|1460|51.9|normal
1000|ACK|19|1460|48.8|normal
1050|ACK|20|1460|50.3|normal
1100|ACK|21|1460|53.4|normal
1150|ACK|22|1460|49.0|normal
1200|ACK|23|1460|51.5|normal
1250|ACK|24|1460|48.1|normal
1300|ACK|25|1460|50.7|normal
1350|ACK|26|1460|52.2|normal
1400|ACK|27|1460|47.5|normal
1450|ACK|28|1460|51.3|normal
1500|ACK|29|1460|49.4|normal
1550|ACK|30|1460|50.9|normal
1600|ACK|31|1460|52.6|normal
1650|ACK|32|1460|48.7|normal
1700|ACK|33|1460|51.0|normal
1750|ACK|34|1460|49.2|normal
1800|ACK|35|1460|50.4|normal
1850|ACK|36|1460|53.0|normal
1900|ACK|37|1460|47.9|normal
1950|ACK|38|1460|51.6|normal
2000|ACK|39|1460|48.4|normal
2050|ACK|40|1460|50.1|normal
2100|ACK|41|1460|52.5|normal
2150|ACK|42|1460|49.3|normal
2200|ACK|43|1460|51.2|normal
2250|ACK|44|1460|48.6|normal
2300|ACK|45|1460|50.6|normal
2350|ACK|46|1460|52.1|normal
2400|ACK|47|1460|47.6|normal
2450|ACK|48|1460|51.8|normal
2500|ACK|49|1460|49.5|normal
2550|ACK|50|1460|50.0|normal
2600|ACK|51|1460|52.3|normal
2650|ACK|52|1460|48.9|normal
2700|ACK|53|1460|51.4|normal
2750|ACK|54|1460|49.1|normal
2800|ACK|55|1460|50.8|normal
2850|ACK|56|1460|52.7|normal
2900|ACK|57|1460|47.3|normal
2950|ACK|58|1460|51.5|normal
3000|ACK|59|1460|48.2|normal
3050|ACK|60|1460|50.3|normal
3200|LOSS|61|0|0.0|ecn_ce
3250|ACK|62|1460|51.0|recovery
3300|ACK|63|1460|49.8|recovery
3350|ACK|64|1460|50.5|recovery
3400|ACK|65|1460|52.1|recovery
3450|ACK|66|1460|48.4|normal
3500|ACK|67|1460|50.2|normal
3550|ACK|68|1460|51.3|normal
3600|ACK|69|1460|49.6|normal
3650|ACK|70|1460|50.7|normal
3700|ACK|71|1460|52.0|normal
3750|ACK|72|1460|48.1|normal
3800|ACK|73|1460|51.1|normal
3850|ACK|74|1460|49.4|normal
3900|ACK|75|1460|50.9|normal
3950|ACK|76|1460|52.4|normal
4000|ACK|77|1460|47.7|normal
4050|ACK|78|1460|51.7|normal
4100|ACK|79|1460|48.8|normal
4150|ACK|80|1460|50.4|normal
4200|ACK|81|1460|52.9|normal
4250|ACK|82|1460|49.2|normal
4300|ACK|83|1460|51.0|normal
4350|ACK|84|1460|48.5|normal
4400|ACK|85|1460|50.6|normal
4450|ACK|86|1460|52.3|normal
4500|ACK|87|1460|47.4|normal
4550|ACK|88|1460|51.8|normal
4600|ACK|89|1460|49.7|normal
4650|ACK|90|1460|50.2|normal
4700|ACK|91|1460|52.6|normal
4750|ACK|92|1460|48.3|normal
4800|ACK|93|1460|51.5|normal
4850|ACK|94|1460|49.0|normal
4900|ACK|95|1460|50.8|normal
4950|ACK|96|1460|52.1|normal
5000|ACK|97|1460|47.8|normal
5050|ACK|98|1460|51.2|normal
5100|ACK|99|1460|49.5|normal
5150|ACK|100|1460|50.3|normal
