# timestamp_ms|event_type|bytes_acked|rtt_ms|seq_num|flags
# Generated trace: base_rtt=60.0ms, loss_rate=0.03
1006.7|ACK|1168|74.2|2|CUMACK
1013.2|ACK|1168|34.7|3|CUMACK
1021.9|ACK|1168|47.0|4|CUMACK
1030.7|ACK|1168|55.9|5|CUMACK
1039.0|ACK|1168|88.5|6|CUMACK
1047.8|ACK|1168|54.6|7|SACK
1054.9|ACK|1168|51.1|8|CUMACK
1062.1|ACK|1168|18.2|9|SACK
1071.0|ACK|1168|82.4|10|SACK
1077.6|ACK|1168|78.5|11|SACK
1086.4|ACK|1168|30.5|12|CUMACK
1095.3|ACK|1168|62.6|13|CUMACK
1103.3|ACK|1168|45.3|14|SACK
1111.3|ACK|1168|61.7|15|CUMACK
1119.7|ACK|1168|150.6|16|SACK
1127.9|LOSS|1460|0.0|16|DUPACK
1135.6|ACK|3504|25.9|17|CUMACK
1144.5|ACK|1168|100.1|18|CUMACK
1152.1|ACK|5840|54.4|19|SACK
1159.8|ACK|4672|108.5|20|SACK
1166.8|ACK|1168|32.3|21|SACK
1175.7|SEND|1460|0.0|22|DATA
1184.0|ACK|1168|103.4|23|CUMACK
1191.7|ACK|1168|74.8|24|CUMACK
1199.4|ACK|1168|69.8|25|CUMACK
1207.6|ACK|3504|59.9|26|SACK
1216.0|ACK|1168|72.7|27|CUMACK
1224.9|ACK|1168|53.2|28|SACK
1231.5|SEND|1460|0.0|29|DATA
1238.8|ACK|1168|82.7|30|SACK
1245.3|ACK|1168|37.4|31|CUMACK
1252.1|SEND|1460|0.0|32|DATA
1259.8|ACK|4672|63.0|33|SACK
1266.9|ACK|1168|30.9|34|CUMACK
1275.7|ACK|1168|76.9|35|CUMACK
1282.4|ACK|1168|94.4|36|SACK
1289.5|ACK|1168|84.8|37|CUMACK
1297.1|SEND|1460|0.0|38|DATA
1304.3|ACK|1168|66.1|39|CUMACK
1312.3|ACK|3504|52.6|40|CUMACK
1321.1|ACK|1168|73.6|41|CUMACK
1328.3|SEND|1460|0.0|42|DATA
1336.5|ACK|1168|66.5|43|CUMACK
1343.2|SEND|1460|0.0|44|DATA
1350.8|ACK|1168|60.0|45|CUMACK
1359.7|ACK|1168|70.9|46|SACK
1368.1|ACK|1168|27.7|47|CUMACK
1375.8|SEND|1460|0.0|48|DATA
1383.2|ACK|1168|18.0|49|CUMACK
1391.4|ACK|1168|103.1|50|CUMACK
1398.7|ACK|1168|44.5|51|CUMACK
1406.9|ACK|1168|46.2|52|CUMACK
1415.3|ACK|1168|68.4|53|CUMACK
1423.5|SEND|1460|0.0|54|DATA
1432.5|ACK|1168|61.0|55|SACK
1441.4|ACK|3504|74.6|56|CUMACK
1449.7|ACK|1168|53.0|57|CUMACK
1457.2|ACK|1168|106.9|58|CUMACK
1464.4|ACK|1168|18.0|59|SACK
1471.6|ACK|1168|89.7|60|SACK
1479.5|ACK|1168|30.3|61|SACK
1487.7|ACK|1168|50.0|62|SACK
1496.1|ACK|1168|69.3|63|CUMACK
1503.8|SEND|1460|0.0|64|DATA
1511.6|ACK|1168|37.1|65|CUMACK
1519.4|ACK|5840|55.6|66|CUMACK
1526.5|ACK|4672|34.7|67|CUMACK
1535.2|ACK|1168|43.8|68|SACK
1541.9|ACK|1168|96.4|69|CUMACK
1549.4|SEND|1460|0.0|70|DATA
1557.5|ACK|2336|23.9|71|SACK
1565.0|SEND|1460|0.0|72|DATA
1572.8|ACK|2336|73.3|73|CUMACK
1580.3|ACK|1168|26.9|74|CUMACK
1588.4|ACK|1168|60.5|75|CUMACK
1595.1|ACK|1168|81.0|76|CUMACK
1602.4|ACK|5840|58.4|77|CUMACK
1610.3|ACK|1168|40.6|78|CUMACK
1618.5|ACK|1168|182.7|79|CUMACK
1625.7|ACK|1168|41.8|80|CUMACK
