# Trace Delta: Bandwidth probing phase with gain cycling, 70 events
# Format: timestamp_ms|event_type|seq_num|bytes_acked|rtt_sample_ms|extra
100|ACK|1|1460|40.2|startup
200|ACK|2|1460|41.5|startup
300|ACK|3|1460|39.8|startup
400|ACK|4|1460|42.1|startup
500|ACK|5|1460|40.7|startup
600|ACK|6|1460|41.3|startup
700|ACK|7|1460|39.5|startup
800|ACK|8|1460|42.4|startup
900|ACK|9|1460|40.9|startup
1000|ACK|10|1460|41.1|startup
1100|ACK|11|1460|40.3|cruise
1200|ACK|12|1460|41.8|cruise
1300|ACK|13|1460|39.7|cruise
1400|ACK|14|1460|42.0|cruise
1500|ACK|15|1460|40.5|cruise
1600|ACK|16|1460|41.6|cruise
1700|ACK|17|1460|39.9|cruise
1800|ACK|18|1460|42.3|cruise
1900|ACK|19|1460|40.1|cruise
2000|ACK|20|1460|41.4|cruise
2100|PROBE_START|21|0|0.0|gain_up
2200|ACK|22|1460|40.8|probe_up
2300|ACK|23|1460|41.2|probe_up
2400|ACK|24|1460|39.6|probe_up
2500|ACK|25|1460|42.5|probe_up
2600|ACK|26|1460|40.4|probe_up
2700|ACK|27|1460|41.7|probe_up
2800|ACK|28|1460|39.4|probe_up
2900|ACK|29|1460|42.2|probe_up
3000|ACK|30|1460|40.6|probe_up
3100|ACK|31|1460|41.0|probe_up
3200|ACK|32|1460|40.2|probe_up
3300|ACK|33|1460|41.9|probe_up
3400|ACK|34|1460|39.3|probe_up
3500|ACK|35|1460|42.6|probe_up
3600|PROBE_END|36|0|0.0|gain_cruise
3700|ACK|37|1460|40.7|cruise
3800|ACK|38|1460|41.3|cruise
3900|ACK|39|1460|39.8|cruise
4000|ACK|40|1460|42.1|cruise
4100|ACK|41|1460|40.5|cruise
4200|ACK|42|1460|41.6|cruise
4300|ACK|43|1460|39.9|cruise
4400|ACK|44|1460|42.4|cruise
4500|ACK|45|1460|40.2|cruise
4600|ACK|46|1460|41.8|cruise
4700|LOSS|47|0|0.0|congestion
4800|ACK|48|1460|43.1|recovery
4900|ACK|49|1460|41.5|normal
5000|ACK|50|1460|40.8|normal
5100|ACK|51|1460|42.0|normal
5200|ACK|52|1460|39.7|normal
5300|ACK|53|1460|41.4|normal
5400|ACK|54|1460|40.3|normal
5500|ACK|55|1460|42.2|normal
5600|ACK|56|1460|39.9|normal
5700|ACK|57|1460|41.7|normal
5800|ACK|58|1460|40.1|normal
5900|ACK|59|1460|42.5|normal
6000|ACK|60|1460|39.5|normal
6100|ACK|61|1460|41.3|normal
6200|ACK|62|1460|40.6|normal
6300|ACK|63|1460|42.1|normal
6400|ACK|64|1460|39.8|normal
6500|ACK|65|1460|41.5|normal
6600|ACK|66|1460|40.4|normal
6700|ACK|67|1460|42.3|normal
6800|ACK|68|1460|39.6|normal
6900|ACK|69|1460|41.1|normal
7000|ACK|70|1460|40.9|normal
