# Trace Gamma: Heavy loss scenario (~5% loss rate), 90 events
# Format: timestamp_ms|event_type|seq_num|bytes_acked|rtt_sample_ms|extra
100|ACK|2|1460|65.2|normal
150|ACK|4|1460|63.8|normal
200|ACK|6|1460|66.1|normal
250|ACK|8|1460|64.5|normal
300|ACK|10|1460|67.3|normal
350|LOSS|12|0|0.0|queue_drop
400|ACK|14|1460|68.2|recovery
450|ACK|16|1460|64.9|normal
500|ACK|18|1460|66.7|normal
550|ACK|20|1460|63.4|normal
600|ACK|22|1460|65.8|normal
650|ACK|24|1460|67.1|normal
700|ACK|26|1460|64.2|normal
750|ACK|28|1460|66.5|normal
800|ACK|30|1460|63.9|normal
850|ACK|32|1460|65.3|normal
900|ACK|34|1460|67.8|normal
950|ACK|36|1460|64.7|normal
1000|ACK|38|1460|66.2|normal
1050|ACK|40|1460|63.5|normal
1100|ACK|42|1460|65.9|normal
1150|ACK|44|1460|67.4|normal
1250|LOSS|46|0|0.0|queue_drop
1300|ACK|48|1460|68.5|recovery
1350|ACK|50|1460|65.1|normal
1400|ACK|52|1460|66.8|normal
1450|ACK|54|1460|64.3|normal
1500|ACK|56|1460|65.6|normal
1550|ACK|58|1460|67.2|normal
1600|ACK|60|1460|63.7|normal
1650|ACK|62|1460|66.4|normal
1700|ACK|64|1460|64.8|normal
1750|ACK|66|1460|65.5|normal
1800|ACK|68|1460|67.9|normal
1850|ACK|70|1460|64.1|normal
1900|ACK|72|1460|66.3|normal
1950|ACK|74|1460|63.6|normal
2000|ACK|76|1460|65.7|normal
2100|LOSS|78|0|0.0|queue_drop
2150|ACK|80|1460|68.1|recovery
2200|ACK|82|1460|65.4|normal
2250|ACK|84|1460|66.9|normal
2300|ACK|86|1460|64.6|normal
2350|ACK|88|1460|65.2|normal
2400|ACK|90|1460|67.5|normal
2450|ACK|92|1460|63.8|normal
2500|ACK|94|1460|66.1|normal
2550|ACK|96|1460|64.4|normal
2600|ACK|98|1460|65.8|normal
2650|ACK|100|1460|67.3|normal
2700|ACK|102|1460|64.0|normal
2750|ACK|104|1460|66.6|normal
2800|ACK|106|1460|63.3|normal
2850|ACK|108|1460|65.4|normal
2900|ACK|110|1460|67.7|normal
3000|LOSS|112|0|0.0|queue_drop
3050|ACK|114|1460|68.3|recovery
3100|ACK|116|1460|65.6|normal
3150|ACK|118|1460|66.4|normal
3200|ACK|120|1460|64.7|normal
3250|ACK|122|1460|65.9|normal
3300|ACK|124|1460|67.1|normal
3350|ACK|126|1460|63.5|normal
3400|ACK|128|1460|66.2|normal
3450|ACK|130|1460|64.8|normal
3500|ACK|132|1460|65.3|normal
3550|ACK|134|1460|67.6|normal
3600|ACK|136|1460|64.1|normal
3650|ACK|138|1460|66.7|normal
3700|ACK|140|1460|63.9|normal
3750|ACK|142|1460|65.5|normal
3800|ACK|144|1460|67.2|normal
3850|ACK|146|1460|64.3|normal
3900|ACK|148|1460|66.0|normal
3950|ACK|150|1460|63.7|normal
4000|ACK|152|1460|65.8|normal
4050|ACK|154|1460|67.4|normal
4100|ACK|156|1460|64.5|normal
4150|ACK|158|1460|66.3|normal
4200|ACK|160|1460|63.4|normal
4250|ACK|162|1460|65.6|normal
4300|ACK|164|1460|67.0|normal
4350|ACK|166|1460|64.2|normal
4400|ACK|168|1460|66.5|normal
4450|ACK|170|1460|63.8|normal
4500|ACK|172|1460|65.1|normal
4550|ACK|174|1460|67.3|normal
4600|ACK|176|1460|64.6|normal
4650|ACK|178|1460|66.1|normal
4700|ACK|180|1460|65.4|normal
